internal_error_code,error_description,code_detail,failure_type,point_of_failure,next_best_action,failure_stage,recoverable
BAD_REQUEST_PAYMENT_INVALID_ACCOUNT,Invalid account,invalid_account,Technical,Razorpay,Non actionable,Initiation,N
GATEWAY_ERROR_NO_CREDIT_ACCOUNT,No Credit Account,invalid_account,Business,Razorpay,Non actionable,Initiation,N
BAD_REQUEST_MERCHANT_NO_BANK_ACCOUNT_FOUND,No Credit Account,invalid_account,Business,Razorpay,Non actionable,Initiation,N
BAD_REQUEST_UNAUTHORIZED_INVALID_ACCOUNT_ID,Unauthorized account used,invalid_account,Business,Razorpay,Non actionable,Initiation,N
BAD_REQUEST_PAYMENT_CARD_HOLDER_NOT_PERMITTED_TXN,Transaction not permitted by card holder,invalid_card,Technical,Razorpay,Retry with another card,Initiation,N
BAD_REQUEST_TRANSACTIONS_LIMIT_REACHED,Insufficient Balance - Razorpay limit exceeded,limit_breach,Business,Razorpay,Non actionable,Initiation,N
BAD_REQUEST_PAYMENT_POSSIBLE_FRAUD,Payment blocked for possible fraud,risk_decline,Business,Razorpay,Retry with another card,Authorization,N
BAD_REQUEST_PAYMENT_NO_RESPONSE_RECEIVED_FROM_BANK,Payment Timed Out,payment_time_out,Technical,Razorpay,System Retry,Initiation,I
SERVER_ERROR_LOGICAL_ERROR,Unknown Error,server_error,Technical,Razorpay,Non actionable,Initiation,N
SERVER_ERROR_INVALID_ARGUMENT,Unknown Error,server_error,Technical,Razorpay,Non actionable,Initiation,N
SERVER_ERROR_RUNTIME_ERROR,Unknown Error,server_error,Technical,Razorpay,Non actionable,Initiation,N
SERVER_ERROR,Unknown Error,server_error,Technical,Razorpay,Non actionable,Initiation,N
SERVER_ERROR_ASSERTION_ERROR,Unknown Error,server_error,Technical,Razorpay,Non actionable,Initiation,N
GATEWAY_ERROR_UNKNOWN_ERROR,Unknown Error,gateway_transaction_error ,Technical,Razorpay,Non actionable,Initiation,N
